ID,text,source,cleantext,label1,label2,label3,final_label
11,যখন কোনো তত্ত্ব অনেক পরীক্ষা-নিরীক্ষার সাহায্যে প্রমাণিত হয় এবং এর মূল কথাগুলি একটি উক্তির মাধ্যমে প্রকাশ করা হয় তখন তাকে বৈজ্ঞানিক সূত্র বলা হয়।,HSC Physics,যখন কোনো তত্ত্ব অনেক পরীক্ষানিরীক্ষার সাহায্যে প্রমাণিত হয় এবং এর মূল কথাগুলি একটি উক্তির মাধ্যমে প্রকাশ করা হয় তখন তাকে বৈজ্ঞানিক সূত্র বলা হয়,Physics,Physics,Physics,Physics
12,"সূত্র অনেক সময় আবিষ্কর্তার নামানুসারে; যেমন ও'মের সূত্র, বয়েলের সূত্র; কখনওবা বিষয়ের নামে; যেমন শক্তির নিত্যতা সূত্র, তাপগতিবিদ্যার সূত্র; আবার কখনও আবিষ্কারক এবং বিষয় উভয়ের নামে হয়ে থাকে; যেমন নিউটনের গতিসূত্র, গ্যালিলিওর পড়ন্ত বস্তুর সূত্র।",HSC Physics,সূত্র অনেক সময় আবিষ্কর্তার নামানুসারে যেমন ওমের সূত্র বয়েলের সূত্র কখনওবা বিষয়ের নামে যেমন শক্তির নিত্যতা সূত্র তাপগতিবিদ্যার সূত্র আবার কখনও আবিষ্কারক এবং বিষয় উভয়ের নামে হয়ে থাকে যেমন নিউটনের গতিসূত্র গ্যালিলিওর পড়ন্ত বস্তুর সূত্র,Physics,Physics,Physics,Physics
13,"যে সকল প্রাকৃতিক সত্য সরাসরি স্পষ্টভাবে প্রমাণ করা যায় এবং ঐ সত্যের সাহায্যে অনেক প্রাকৃতিক ঘটনাকে প্রমাণ করা যায়, তাকে নীতি বলে।",HSC Physics,যে সকল প্রাকৃতিক সত্য সরাসরি স্পষ্টভাবে প্রমাণ করা যায় এবং ঐ সত্যের সাহায্যে অনেক প্রাকৃতিক ঘটনাকে প্রমাণ করা যায় তাকে নীতি বলে,Physics,Physics,Physics,Physics
14,"কোনো গাণিতিক মডেল বা সূত্র প্রতিষ্ঠা করার লক্ষ্যে যদি কিছু পূর্বশর্ত স্বীকার করে নেওয়া হয়, তবে ঐ পূর্বশর্তসমূহকে স্বীকার্য বলে।",HSC Physics,কোনো গাণিতিক মডেল বা সূত্র প্রতিষ্ঠা করার লক্ষ্যে যদি কিছু পূর্বশর্ত স্বীকার করে নেওয়া হয় তবে ঐ পূর্বশর্তসমূহকে স্বীকার্য বলে,Physics,Physics,Physics,Physics
15,পরীক্ষা-নিরীক্ষার দ্বারা প্রমাণিত অনুকল্পকে তত্ত্ব বলে।,HSC Physics,পরীক্ষানিরীক্ষার দ্বারা প্রমাণিত অনুকল্পকে তত্ত্ব বলে,Physics,Physics,Physics,Physics
16,"যখন কোনো তত্ত্বকে কিছু ধারণা বা উক্তি এবং সমীকরণের মাধ্যমে ব্যাখ্যা করা যায়, তখন সেই তত্ত্বকে সূত্র বলে।",HSC Physics,যখন কোনো তত্ত্বকে কিছু ধারণা বা উক্তি এবং সমীকরণের মাধ্যমে ব্যাখ্যা করা যায় তখন সেই তত্ত্বকে সূত্র বলে,Physics,Physics,Physics,Physics
17,"সকল সূত্রই তত্ত্ব, তবে সকল তত্ত্ব সূত্র নয়।",HSC Physics,সকল সূত্রই তত্ত্ব তবে সকল তত্ত্ব সূত্র নয়,Physics,Physics,Physics,Physics
18,সকল তত্ত্বই অনুকল্প এবং সকল অনুকল্প তত্ত্ব নয়।,HSC Physics,সকল তত্ত্বই অনুকল্প এবং সকল অনুকল্প তত্ত্ব নয়,Physics,Physics,Physics,Physics
19,বিজ্ঞানীরা তাঁদের পর্যবেক্ষিত ঘটনার কারণ সম্বন্ধে ব্যাখ্যা প্রদানের জন্য অনেক সময় পূর্বে আবিষ্কৃত প্রাকৃতিক নিয়মের সাথে সামঞ্জস্য রেখে কিছু অনুমান করেন- এই অনুমানগুলোকে বলা হয় অনুকল্প।,HSC Physics,বিজ্ঞানীরা তাঁদের পর্যবেক্ষিত ঘটনার কারণ সম্বন্ধে ব্যাখ্যা প্রদানের জন্য অনেক সময় পূর্বে আবিষ্কৃত প্রাকৃতিক নিয়মের সাথে সামঞ্জস্য রেখে কিছু অনুমান করেন এই অনুমানগুলোকে বলা হয় অনুকল্প,Physics,Physics,Physics,Physics
20,চিরায়িত বলবিদ্যা নিউটনীয় বলবিদ্যা নামে পরিচিত।,HSC Physics,চিরায়িত বলবিদ্যা নিউটনীয় বলবিদ্যা নামে পরিচিত,Physics,Physics,Physics,Physics
21,"বিজ্ঞানী নিউটনের মতে, স্থান একটি পরম জিনিস যা তার নিজের মধ্যেই অবস্থান করে; এটি বাইরের কোনো কিছুর সঙ্গে সম্পর্কীয় নয় এবং পরিবেশ দ্বারা প্রভাবিত হয় না।",HSC Physics,বিজ্ঞানী নিউটনের মতে স্থান একটি পরম জিনিস যা তার নিজের মধ্যেই অবস্থান করে এটি বাইরের কোনো কিছুর সঙ্গে সম্পর্কীয় নয় এবং পরিবেশ দ্বারা প্রভাবিত হয় না,Physics,Physics,Physics,Physics
22,নিউটনের মতে সময় বা কাল প্রকৃতিগতভাবে একটি পরম রাশি যা বাইরের কোনো কিছুর উপর নির্ভর না করে সমভাবে এগিয়ে চলে।,HSC Physics,নিউটনের মতে সময় বা কাল প্রকৃতিগতভাবে একটি পরম রাশি যা বাইরের কোনো কিছুর উপর নির্ভর না করে সমভাবে এগিয়ে চলে,Physics,Physics,Physics,Physics
23,নিউটনীয় বলবিদ্যায় বস্তুর ভর একটি মৌলিক রাশি যা তার গতির উপর নির্ভরশীল নয় এবং ভরের নিত্যতা সূত্র অনুসারে কোনো স্বতন্ত্র প্রক্রিয়াধীন বস্তুসমূহের ভর ঐ প্রক্রিয়াধীন দুই বা ততোধিক বস্তুর ক্রিয়া- প্রতিক্রিয়ার দরুন হয়।,HSC Physics,নিউটনীয় বলবিদ্যায় বস্তুর ভর একটি মৌলিক রাশি যা তার গতির উপর নির্ভরশীল নয় এবং ভরের নিত্যতা সূত্র অনুসারে কোনো স্বতন্ত্র প্রক্রিয়াধীন বস্তুসমূহের ভর ঐ প্রক্রিয়াধীন দুই বা ততোধিক বস্তুর ক্রিয়া প্রতিক্রিয়ার দরুন হয়,Physics,Physics,Physics,Physics
24,কোনো বস্তুর গতিশীল অবস্থার দৈর্ঘ্য ঐ বস্তুর স্থির অবস্থার দৈর্ঘ্যের চেয়ে ছোট হওয়াকে দৈর্ঘ্য সংকোচন বলে।,HSC Physics,কোনো বস্তুর গতিশীল অবস্থার দৈর্ঘ্য ঐ বস্তুর স্থির অবস্থার দৈর্ঘ্যের চেয়ে ছোট হওয়াকে দৈর্ঘ্য সংকোচন বলে,Physics,Physics,Physics,Physics
25,কোনো জড় বা স্থির কাঠামোতে সংঘটিত ঘটনা উক্ত কাঠামো সাপেক্ষে গতিশীল অন্য কোনো কাঠামো থেকে লক্ষ করলে দেখা যাবে ঘটনার সময় ব্যবধান বৃদ্ধি পেয়েছে।,HSC Physics,কোনো জড় বা স্থির কাঠামোতে সংঘটিত ঘটনা উক্ত কাঠামো সাপেক্ষে গতিশীল অন্য কোনো কাঠামো থেকে লক্ষ করলে দেখা যাবে ঘটনার সময় ব্যবধান বৃদ্ধি পেয়েছে,Physics,Physics,Physics,Physics
26,বস্তু গতিশীল হলে এর ভর বৃদ্ধি পায়- এই ঘটনাকে ভরের আপেক্ষিকতা বা গতিজনিত ভর বৃদ্ধি বলে।,HSC Physics,বস্তু গতিশীল হলে এর ভর বৃদ্ধি পায় এই ঘটনাকে ভরের আপেক্ষিকতা বা গতিজনিত ভর বৃদ্ধি বলে,Physics,Physics,Physics,Physics
27,যে একক অন্য কোনো এককের উপর নির্ভর করে না এবং একেবারে সম্পর্কশূন্য বা স্বাধীন তাকে মৌলিক একক বলে।,HSC Physics,যে একক অন্য কোনো এককের উপর নির্ভর করে না এবং একেবারে সম্পর্কশূন্য বা স্বাধীন তাকে মৌলিক একক বলে,Physics,Physics,Physics,Physics
28,মৌলিক একক হতে যে একক পাওয়া যায় তাকে লব্ধ বা যৌগিক একক বলে।,HSC Physics,মৌলিক একক হতে যে একক পাওয়া যায় তাকে লব্ধ বা যৌগিক একক বলে,Physics,Physics,Physics,Physics
29,কোনো একটি রাশি এবং তার মৌলিক এককের মধ্যে সম্পর্ক স্থাপনের জন্য যে সংকেত ব্যবহার করা হয় তাকে উক্ত রাশির মাত্রা বলে।,HSC Physics,কোনো একটি রাশি এবং তার মৌলিক এককের মধ্যে সম্পর্ক স্থাপনের জন্য যে সংকেত ব্যবহার করা হয় তাকে উক্ত রাশির মাত্রা বলে,Physics,Physics,Physics,Physics
30,কোনো একটি প্রাকৃতিক রাশির মাত্রা উক্ত রাশি এবং তার মৌলিক এককের মধ্যে সম্পর্ক স্থাপন করে।,HSC Physics,কোনো একটি প্রাকৃতিক রাশির মাত্রা উক্ত রাশি এবং তার মৌলিক এককের মধ্যে সম্পর্ক স্থাপন করে,Physics,Physics,Physics,Physics
31,"কোনো লব্ধ একক গঠন করতে মৌলিক এককগুলোকে যে ঘাতে উন্নীত করা হয়, সে ঘাতকে ঐ লব্ধ এককের মাত্রা বলে।",HSC Physics,কোনো লব্ধ একক গঠন করতে মৌলিক এককগুলোকে যে ঘাতে উন্নীত করা হয় সে ঘাতকে ঐ লব্ধ এককের মাত্রা বলে,Physics,Physics,Physics,Physics
32,"পদার্থবিজ্ঞানের তিনটি মৌলিক রাশি হলো দৈর্ঘ্য, ভর এবং সময়।",HSC Physics,পদার্থবিজ্ঞানের তিনটি মৌলিক রাশি হলো দৈর্ঘ্য ভর এবং সময়,Physics,Physics,Physics,Physics
33,যে সমীকরণ মৌলিক একক এবং লব্ধ এককের মধ্যে সম্পর্ক স্থাপন করে তাকে মাত্রা সমীকরণ বলে।,HSC Physics,যে সমীকরণ মৌলিক একক এবং লব্ধ এককের মধ্যে সম্পর্ক স্থাপন করে তাকে মাত্রা সমীকরণ বলে,Physics,Physics,Physics,Physics
34,কোনো রাশি সম্মন্ধে আমরা দুভাবে জ্ঞান লাভ করতে পারি—একটি গুণগত ও অন্যটি পরিমাণগত।,HSC Physics,কোনো রাশি সম্মন্ধে আমরা দুভাবে জ্ঞান লাভ করতে পারিএকটি গুণগত ও অন্যটি পরিমাণগত,Physics,Physics,Physics,Physics
35,কোনো একটি প্রাকৃতিক রাশি পরিমাপ করতে হলে তার একটি নির্দিষ্ট ও সুবিধাজনক অংশ বা খণ্ডকে আদর্শ হিসেবে ধরে নিয়ে সেই রাশির পরিমাপ করা হয় এবং সর্বত্র ঐ নির্দিষ্ট অংশেরই প্রচলন করা হয়।,HSC Physics,কোনো একটি প্রাকৃতিক রাশি পরিমাপ করতে হলে তার একটি নির্দিষ্ট ও সুবিধাজনক অংশ বা খণ্ডকে আদর্শ হিসেবে ধরে নিয়ে সেই রাশির পরিমাপ করা হয় এবং সর্বত্র ঐ নির্দিষ্ট অংশেরই প্রচলন করা হয়,Physics,Physics,Physics,Physics
36,"পিথাগোরাস জ্যোতির্বিদ্যা, গণিত, শব্দবিজ্ঞান বিষয়ে অবদানের জন্য বিখ্যাত।",HSC Physics,পিথাগোরাস জ্যোতির্বিদ্যা গণিত শব্দবিজ্ঞান বিষয়ে অবদানের জন্য বিখ্যাত,Physics,Physics,Physics,Physics
37,খ্রি. পূ. চতুর্থ শতকে ইউক্লিড জ্যামিতি ও আলোকবিজ্ঞানের অনেক মূল্যবান গবেষণা লব্ধ তথ্য প্রদান করেন।,HSC Physics,খ্রি পূ চতুর্থ শতকে ইউক্লিড জ্যামিতি ও আলোকবিজ্ঞানের অনেক মূল্যবান গবেষণা লব্ধ তথ্য প্রদান করেন,Physics,Physics,Physics,Physics
38,খ্রি. পূ. তৃতীয় শতকে আর্কিমিডিস লিভারের নীতি ও উদস্থিতিবিদ্যার সূত্র আবিষ্কার করেন।,HSC Physics,খ্রি পূ তৃতীয় শতকে আর্কিমিডিস লিভারের নীতি ও উদস্থিতিবিদ্যার সূত্র আবিষ্কার করেন,Physics,Physics,Physics,Physics
39,1589 খ্রিস্টাব্দে বিজ্ঞানী গ্যালিলিও মুক্তভাবে পড়ন্ত বস্তুর বিভিন্ন তথ্য-উপাত্ত সংগ্রহ করে তিনটি সূত্র আবিষ্কার করেন।,HSC Physics,খ্রিস্টাব্দে বিজ্ঞানী গ্যালিলিও মুক্তভাবে পড়ন্ত বস্তুর বিভিন্ন তথ্যউপাত্ত সংগ্রহ করে তিনটি সূত্র আবিষ্কার করেন,Physics,Physics,Physics,Physics
40,1610 খ্রিস্টাব্দে বিজ্ঞানী গ্যালিলিও যৌগিক অণুবীক্ষণ যন্ত্র আবিষ্কার করেন।,HSC Physics,খ্রিস্টাব্দে বিজ্ঞানী গ্যালিলিও যৌগিক অণুবীক্ষণ যন্ত্র আবিষ্কার করেন,Physics,Physics,Physics,Physics
41,"1665 সালে ক্যামব্রিজে পড়ার সময় নিউটন মহাকর্ষ বলের তত্ত্ব, ক্যালকুলাস ও আলোর বর্ণালী এই তিনটি সূত্র আবিষ্কার করেন।",HSC Physics,সালে ক্যামব্রিজে পড়ার সময় নিউটন মহাকর্ষ বলের তত্ত্ব ক্যালকুলাস ও আলোর বর্ণালী এই তিনটি সূত্র আবিষ্কার করেন,Physics,Physics,Physics,Physics
42,স্যার আইজাক নিউটনের সমসাময়িক ডাচ বিজ্ঞানী হাইগেন্‌স 1678 খ্রিস্টাব্দে আলোর তরঙ্গ তত্ত্ব প্রদান করেন।,HSC Physics,স্যার আইজাক নিউটনের সমসাময়িক ডাচ বিজ্ঞানী হাইগেন্স খ্রিস্টাব্দে আলোর তরঙ্গ তত্ত্ব প্রদান করেন,Physics,Physics,Physics,Physics
43,ফ্যারাডে তড়িৎচুম্বকীয় আবেশ এবং আপেক্ষিক আবেশিক ধারকত্ব আবিষ্কারের জন্য অমর হয়ে আছেন।,HSC Physics,ফ্যারাডে তড়িৎচুম্বকীয় আবেশ এবং আপেক্ষিক আবেশিক ধারকত্ব আবিষ্কারের জন্য অমর হয়ে আছেন,Physics,Physics,Physics,Physics
44,"1911 সালে রাদারফোর্ড বিখ্যাত আলফা বিক্ষেপণ পরীক্ষার ফলাফল হতে এই সিদ্ধান্তে উপনীত হন যে, পরমাণুর সমস্ত ধন আধান এবং ভর এর কেন্দ্রে অতি অল্প পরিসর স্থানে কেন্দ্রীভূত রয়েছে।",HSC Physics,সালে রাদারফোর্ড বিখ্যাত আলফা বিক্ষেপণ পরীক্ষার ফলাফল হতে এই সিদ্ধান্তে উপনীত হন যে পরমাণুর সমস্ত ধন আধান এবং ভর এর কেন্দ্রে অতি অল্প পরিসর স্থানে কেন্দ্রীভূত রয়েছে,Physics,Physics,Physics,Physics
45,আইনস্টাইন তাঁর বহু বৈচিত্র্যময় বৈজ্ঞানিক আবিষ্কারের মধ্যে সবচেয়ে বেশি পরিচিত তাঁর আপেক্ষিক তত্ত্বের জন্য।,HSC Physics,আইনস্টাইন তাঁর বহু বৈচিত্র্যময় বৈজ্ঞানিক আবিষ্কারের মধ্যে সবচেয়ে বেশি পরিচিত তাঁর আপেক্ষিক তত্ত্বের জন্য,Physics,Physics,Physics,Physics
46,প্ল্যাঙ্কের অভিমত অনুসারে কোনো বস্তু হতে শক্তির বিকিরণ বা বিভিন্ন ধাতুর মধ্যে শক্তির বিনিময় নিরবচ্ছিন্নভাবে ঘটে না।,HSC Physics,প্ল্যাঙ্কের অভিমত অনুসারে কোনো বস্তু হতে শক্তির বিকিরণ বা বিভিন্ন ধাতুর মধ্যে শক্তির বিনিময় নিরবচ্ছিন্নভাবে ঘটে না,Physics,Physics,Physics,Physics
47,"পরিমাপে যে সমস্ত যন্ত্র ব্যবহার করা হয়, সেগুলো সঠিক এবং সুবেদী না হলে কোনো ভৌত রাশির পরিমাপে ত্রুটি দেখা দেয়- একে যান্ত্রিক ত্রুটি বলে।",HSC Physics,পরিমাপে যে সমস্ত যন্ত্র ব্যবহার করা হয় সেগুলো সঠিক এবং সুবেদী না হলে কোনো ভৌত রাশির পরিমাপে ত্রুটি দেখা দেয় একে যান্ত্রিক ত্রুটি বলে,Physics,Physics,Physics,Physics
48,"সাধারণত ভার্নিয়ার স্কেল, স্ক্রুগজ, স্লাইড ক্যালিপার্স, স্ফেরোমিটার ইত্যাদির প্রধান স্কেলের ‘0’ দাগ ভার্নিয়ার বা বৃত্তাকার স্কেলের '0' দাগের সাথে না মিলে আগে বা পিছনে থাকে- একে শূন্য ত্রুটি বলে।",HSC Physics,সাধারণত ভার্নিয়ার স্কেল স্ক্রুগজ স্লাইড ক্যালিপার্স স্ফেরোমিটার ইত্যাদির প্রধান স্কেলের দাগ ভার্নিয়ার বা বৃত্তাকার স্কেলের দাগের সাথে না মিলে আগে বা পিছনে থাকে একে শূন্য ত্রুটি বলে,Physics,Physics,Physics,Physics
49,পিছট ত্রুটি: নাট-স্ক্রু নীতির উপর ভিত্তি করে যে সকল যন্ত্র তৈরি সেসব যন্ত্রে এ ত্রুটি পরিলক্ষিত হয়।,HSC Physics,পিছট ত্রুটি নাটস্ক্রু নীতির উপর ভিত্তি করে যে সকল যন্ত্র তৈরি সেসব যন্ত্রে এ ত্রুটি পরিলক্ষিত হয়,Physics,Physics,Physics,Physics
50,পর্যবেক্ষণমূলক বা ব্যক্তিগত ত্রুটি: পর্যবেক্ষকের পর্যবেক্ষণে ভুল এবং সঠিক মূল্যায়নের অভাবে এ ত্রুটি পরিলক্ষিত হয়।,HSC Physics,পর্যবেক্ষণমূলক বা ব্যক্তিগত ত্রুটি পর্যবেক্ষকের পর্যবেক্ষণে ভুল এবং সঠিক মূল্যায়নের অভাবে এ ত্রুটি পরিলক্ষিত হয়,Physics,Physics,Physics,Physics
51,পরীক্ষাকালে কোনো কোনো ত্রুটির ফলে পরীক্ষাধীন রাশির পরীক্ষালব্ধ মান সর্বদাই এবং নিয়মিতভাবে রাশিটির প্রকৃত মান অপেক্ষা কম বা বেশি হতে পারে- এ ধরনের ত্রুটিকে নিয়মিত বা পুনরাবৃত্তিক ত্রুটি বলে।,HSC Physics,পরীক্ষাকালে কোনো কোনো ত্রুটির ফলে পরীক্ষাধীন রাশির পরীক্ষালব্ধ মান সর্বদাই এবং নিয়মিতভাবে রাশিটির প্রকৃত মান অপেক্ষা কম বা বেশি হতে পারে এ ধরনের ত্রুটিকে নিয়মিত বা পুনরাবৃত্তিক ত্রুটি বলে,Physics,Physics,Physics,Physics
52,কোনো একটি রাশির প্রকৃত মান ও পরিমাপকৃত মানের পার্থক্যকে পরম ত্রুটি বলে।,HSC Physics,কোনো একটি রাশির প্রকৃত মান ও পরিমাপকৃত মানের পার্থক্যকে পরম ত্রুটি বলে,Physics,Physics,Physics,Physics
53,পদার্থবিজ্ঞানের অন্তর্গত যে কোনো রাশিকে ভৌত রাশি বলে।,HSC Physics,পদার্থবিজ্ঞানের অন্তর্গত যে কোনো রাশিকে ভৌত রাশি বলে,Physics,Physics,Physics,Physics
54,"যে সব ভৌত রাশির শুধু মান আছে, কিন্তু দিক নেই, তাদেরকে স্কেলার রাশি বা অদিক রাশি বলে।",HSC Physics,যে সব ভৌত রাশির শুধু মান আছে কিন্তু দিক নেই তাদেরকে স্কেলার রাশি বা অদিক রাশি বলে,Physics,Physics,Physics,Physics
55,"যে সব ভৌত রাশির মান এবং দিক দুই-ই আছে, তাদেরকে ভেক্টর রাশি বা দিক রাশি বলে।",HSC Physics,যে সব ভৌত রাশির মান এবং দিক দুইই আছে তাদেরকে ভেক্টর রাশি বা দিক রাশি বলে,Physics,Physics,Physics,Physics
56,দুই বা ততোধিক সমজাতীয় ভেক্টরকে যোগ করা যায়; ভিন্ন প্রকৃতির ভেক্টরকে যোগ করা যায় না।,HSC Physics,দুই বা ততোধিক সমজাতীয় ভেক্টরকে যোগ করা যায় ভিন্ন প্রকৃতির ভেক্টরকে যোগ করা যায় না,Physics,Physics,Physics,Physics
57,দুই বা ততোধিক ভেক্টর যোগ করলে যে ভেক্টর পাওয়া যায় তা প্রথমোক্ত ভেক্টর দুটির সম্মিলিত ক্রিয়ার ফলাফলের সমান হয়।,HSC Physics,দুই বা ততোধিক ভেক্টর যোগ করলে যে ভেক্টর পাওয়া যায় তা প্রথমোক্ত ভেক্টর দুটির সম্মিলিত ক্রিয়ার ফলাফলের সমান হয়,Physics,Physics,Physics,Physics
58,দুটি ভেক্টরের ভেক্টর গুণফল একটি ভেক্টর রাশি হয়।,HSC Physics,দুটি ভেক্টরের ভেক্টর গুণফল একটি ভেক্টর রাশি হয়,Physics,Physics,Physics,Physics
59,দুটি ভেক্টরের স্কেলার গুণফল একটি স্কেলার রাশি।,HSC Physics,দুটি ভেক্টরের স্কেলার গুণফল একটি স্কেলার রাশি,Physics,Physics,Physics,Physics
60,কোনো ভেক্টর রাশি ও তার মানের অনুপাত দ্বারা ভেক্টরটির দিক নির্দেশিত হয়।,HSC Physics,কোনো ভেক্টর রাশি ও তার মানের অনুপাত দ্বারা ভেক্টরটির দিক নির্দেশিত হয়,Physics,Physics,Physics,Physics
61,ভেক্টর রাশি যোগ সংযোজন ও বণ্টন সূত্র মেনে চলে।,HSC Physics,ভেক্টর রাশি যোগ সংযোজন ও বণ্টন সূত্র মেনে চলে,Physics,Physics,Physics,Physics
62,কোনো অক্ষরের উপর তীর চিহ্ন দ্বারা রাশিটির ভেক্টর রূপ এবং এর দুই পাশের দুটি খাড়া রেখা দ্বারা এর মান নির্দেশ করা হয়।,HSC Physics,কোনো অক্ষরের উপর তীর চিহ্ন দ্বারা রাশিটির ভেক্টর রূপ এবং এর দুই পাশের দুটি খাড়া রেখা দ্বারা এর মান নির্দেশ করা হয়,Physics,Physics,Physics,Physics
63,যে বাহ্যিক কারণ বস্তুর গতি বা স্থিতি অবস্থার পরিবর্তন ঘটায় বা ঘটাতে চায় তাকে বল বলে।,HSC Physics,যে বাহ্যিক কারণ বস্তুর গতি বা স্থিতি অবস্থার পরিবর্তন ঘটায় বা ঘটাতে চায় তাকে বল বলে,Physics,Physics,Physics,Physics
64,কোনো অক্ষের সাপেক্ষে ঘূর্ণনরত বস্তুর উপর যে বিন্দুতে বল ক্রিয়াশীল ঐ বিন্দুর অবস্থান ভেক্টর ও প্রযুক্ত বলের গুণফলকে ঘূর্ণন বল বা টর্ক বলে।,HSC Physics,কোনো অক্ষের সাপেক্ষে ঘূর্ণনরত বস্তুর উপর যে বিন্দুতে বল ক্রিয়াশীল ঐ বিন্দুর অবস্থান ভেক্টর ও প্রযুক্ত বলের গুণফলকে ঘূর্ণন বল বা টর্ক বলে,Physics,Physics,Physics,Physics
65,সময় ব্যবধান শূন্যের কাছাকাছি হলে কৌণিক সরণের পরিবর্তনের হারকে তাৎক্ষণিক কৌণিক বেগ বা কৌণিক বেগ বলে।,HSC Physics,সময় ব্যবধান শূন্যের কাছাকাছি হলে কৌণিক সরণের পরিবর্তনের হারকে তাৎক্ষণিক কৌণিক বেগ বা কৌণিক বেগ বলে,Physics,Physics,Physics,Physics
66,ঘূর্ণনরত কোনো বস্তুকণার ব্যাসার্ধ ভেক্টর ও রৈখিক ভরবেগের ভেক্টর গুণফলকে কৌণিক ভরবেগ বলে।,HSC Physics,ঘূর্ণনরত কোনো বস্তুকণার ব্যাসার্ধ ভেক্টর ও রৈখিক ভরবেগের ভেক্টর গুণফলকে কৌণিক ভরবেগ বলে,Physics,Physics,Physics,Physics
67,কোনো একটি পৃষ্ঠের বা সমতলের উপর অভিলম্ব অঙ্কন করলে যে দিক নির্দেশিত হয় তা ঐ তলের ভেক্টর।,HSC Physics,কোনো একটি পৃষ্ঠের বা সমতলের উপর অভিলম্ব অঙ্কন করলে যে দিক নির্দেশিত হয় তা ঐ তলের ভেক্টর,Physics,Physics,Physics,Physics
68,যে ভেক্টর রাশির মান এক একক তাকে একক ভেক্টর বলে।,HSC Physics,যে ভেক্টর রাশির মান এক একক তাকে একক ভেক্টর বলে,Physics,Physics,Physics,Physics
69,কোনো ভেক্টরের মানকে ঐ ভেক্টরের একক ভেক্টর দ্বারা গুণ করলে ভেক্টরটি পাওয়া যায়।,HSC Physics,কোনো ভেক্টরের মানকে ঐ ভেক্টরের একক ভেক্টর দ্বারা গুণ করলে ভেক্টরটি পাওয়া যায়,Physics,Physics,Physics,Physics
